task,prob_threshold,persistence,score_threshold,trigger_rate_correct,trigger_rate_incorrect,objective
rgs,0.85,2,0.0,0.6648351648351648,0.9944649446494465,0.32962977981428165
rgs,0.85,2,1.0,0.6648351648351648,0.9944649446494465,0.32962977981428165
rgs,0.85,2,1.5,0.6043956043956044,0.9760147601476015,0.3716191557519971
rgs,0.85,2,2.0,0.5054945054945055,0.922509225092251,0.4170147195977455
rgs,0.85,2,2.5,0.4340659340659341,0.8450184501845018,0.41095251611856776
rgs,0.85,2,3.0,0.32967032967032966,0.7361623616236163,0.4064920319532866
rgs,0.85,3,0.0,0.45054945054945056,0.9428044280442804,0.4922549774948299
rgs,0.85,3,1.0,0.45054945054945056,0.9428044280442804,0.4922549774948299
rgs,0.85,3,1.5,0.41208791208791207,0.9040590405904059,0.4919711285024938
rgs,0.85,3,2.0,0.3241758241758242,0.8357933579335793,0.5116175337577551
rgs,0.85,3,2.5,0.25824175824175827,0.7047970479704797,0.44655528972872144
rgs,0.85,3,3.0,0.21428571428571427,0.5885608856088561,0.3742751713231418
rgs,0.85,4,0.0,0.2692307692307692,0.8413284132841329,0.5720976440533636
rgs,0.85,4,1.0,0.2692307692307692,0.8394833948339483,0.570252625603179
rgs,0.85,4,1.5,0.23626373626373626,0.7749077490774908,0.5386440128137546
rgs,0.85,4,2.0,0.19230769230769232,0.6789667896678967,0.4866590973602044
rgs,0.85,4,2.5,0.15384615384615385,0.5479704797047971,0.3941243258586432
rgs,0.85,4,3.0,0.13186813186813187,0.44280442804428044,0.3109362961761486
rgs,0.9,2,0.0,0.42857142857142855,0.9575645756457565,0.5289931470743279
rgs,0.9,2,1.0,0.42857142857142855,0.9575645756457565,0.5289931470743279
rgs,0.9,2,1.5,0.41208791208791207,0.9169741697416974,0.5048862576537854
rgs,0.9,2,2.0,0.38461538461538464,0.8616236162361623,0.4770082316207777
rgs,0.9,2,2.5,0.35714285714285715,0.7693726937269373,0.41222983658408013
rgs,0.9,2,3.0,0.2967032967032967,0.6605166051660517,0.363813308462755
rgs,0.9,3,0.0,0.22527472527472528,0.8690036900369004,0.6437289647621751
rgs,0.9,3,1.0,0.22527472527472528,0.8653136531365314,0.6400389278618062
rgs,0.9,3,1.5,0.21978021978021978,0.8062730627306273,0.5864928429504075
rgs,0.9,3,2.0,0.1978021978021978,0.7453874538745388,0.547585256072341
rgs,0.9,3,2.5,0.17032967032967034,0.6291512915129152,0.4588216211832448
rgs,0.9,3,3.0,0.14285714285714285,0.514760147601476,0.3719030047443332
rgs,0.9,4,0.0,0.12637362637362637,0.7029520295202952,0.5765784031466689
rgs,0.9,4,1.0,0.12637362637362637,0.7029520295202952,0.5765784031466689
rgs,0.9,4,1.5,0.12637362637362637,0.6568265682656826,0.5304529418920563
rgs,0.9,4,2.0,0.11538461538461539,0.5885608856088561,0.4731762702242407
rgs,0.9,4,2.5,0.0989010989010989,0.470479704797048,0.3715786058959491
rgs,0.9,4,3.0,0.08791208791208792,0.3726937269372694,0.28478163902518144
rgs,0.95,2,0.0,0.1813186813186813,0.8173431734317343,0.636024492113053
rgs,0.95,2,1.0,0.1813186813186813,0.8154981549815498,0.6341794736628684
rgs,0.95,2,1.5,0.1813186813186813,0.7841328413284133,0.602814160009732
rgs,0.95,2,2.0,0.17582417582417584,0.7324723247232472,0.5566481488990713
rgs,0.95,2,2.5,0.13736263736263737,0.6383763837638377,0.5010137464012003
rgs,0.95,2,3.0,0.12637362637362637,0.5295202952029521,0.4031466688293257
rgs,0.95,3,0.0,0.08791208791208792,0.6476014760147601,0.5596893881026722
rgs,0.95,3,1.0,0.08791208791208792,0.6457564575645757,0.5578443696524877
rgs,0.95,3,1.5,0.08791208791208792,0.6217712177121771,0.5338591298000892
rgs,0.95,3,2.0,0.07692307692307693,0.559040590405904,0.4821175134828271
rgs,0.95,3,2.5,0.06593406593406594,0.45018450184501846,0.38425043591095254
rgs,0.95,3,3.0,0.06593406593406594,0.37453874538745385,0.30860467945338793
rgs,0.95,4,0.0,0.038461538461538464,0.45387453874538747,0.415413000283849
rgs,0.95,4,1.0,0.038461538461538464,0.45387453874538747,0.415413000283849
rgs,0.95,4,1.5,0.038461538461538464,0.42988929889298894,0.39142776043145044
rgs,0.95,4,2.0,0.038461538461538464,0.37822878228782286,0.3397672438262844
rgs,0.95,4,2.5,0.038461538461538464,0.30996309963099633,0.2715015611694579
rgs,0.95,4,3.0,0.038461538461538464,0.26383763837638374,0.22537609991484528
